INT_KEY,X,Y,INTERSECTION_NAME,COUNT_COLLISIONS,COUNT_RELATED_STREETS,AVG_PVMT_CONDITION,AVG_SPEEDLIMIT,SIGNAL_TYPE,TRAFFIC_CIRCLE_EXISTS,ARTERIAL_CLASSIFICATION,COUNT_STOPSIGNS,COUNT_YEILDSIGNS,LIGHTPOLE_COUNT,LIGHTPOLE_AVG_HEIGHT,INTERSECTION_SUBAREA
33363,-122.303461461,47.5525911,S VERN CT AND DEAD END,0,1,100,20,NONE,False,0,0,0,1,47,GRDWM
31932,-122.390785558,47.575667632,46TH AVE SW AND SW HANFORD ST,0,3,23,20,NONE,False,0,0,0,1,55,SW
37244,-122.374103408,47.695618349,14TH AVE NW AND HOLMAN RD NW,13,4,80,25,NONE,False,1,2,0,1,55,BLRD
28586,-122.356622063,47.629572571,HIGHLAND DR AND QUEEN ANNE AVE N,10,3,44.666666667,23.333333333,NONE,False,2,2,0,3,46.666666667,MGNL-QA
34699,-122.379334936,47.526136961,37TH AVE SW AND SW CLOVERDALE ST,2,4,82.75,20,NONE,True,0,0,0,1,50,SW
31659,-122.31240893,47.575087478,16TH AVE S AND S HANFORD W ST,0,1,81,20,NONE,False,0,0,0,1,55,GRDWM
35118,-122.314939222,47.524742024,14TH AVE S AND S TRENTON ST,17,4,64.5,22.5,CITY,False,1,0,0,4,43.75,GRDWM
34164,-122.350592749,47.531904214,12TH AVE SW AND SW KENYON ST,5,4,82.25,20,NONE,False,0,0,0,1,45,DLRD
37826,-122.27228996,47.69368883,NE 90TH PL AND DEAD END,0,1,0,20,NONE,False,0,0,0,0,0,NE
29964,-122.329841605,47.604412908,5TH AVE AND CHERRY ST,43,4,39.5,25,STATE,False,1,0,0,3,8.666666667,DWNTN
31170,-122.396500135,47.579256372,GARLOUGH AVE SW AND SW ADMIRAL W WAY,1,1,32,20,NONE,False,2,1,0,1,45,SW
32924,-122.362159795,47.561085733,COTTAGE PL SW AND SW ALASKA ST,1,2,41.5,20,NONE,False,0,0,0,1,50,DLRD
37844,-122.279969005,47.691469076,45TH AVE NE AND DEAD END 3,0,1,80,20,NONE,False,0,0,0,1,47,NE
33888,-122.390377304,47.538795660,SYLVAN LN SW AND DEAD END,0,1,52,20,NONE,False,0,0,0,2,35,SW
