UNITDESC,SIGNAL_TYPE,COMPTYPE,CONDITION,ARTERIAL_CLASS,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
RENTON AVE S AND S RYAN ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,6,6,N,N,N,N,N,N,0
5TH AVE N AND ROY ST                                                                                                                                                                                                                                           ,PRE,74,POOR,1.0,CITY,N,N,8,8,N,N,N,Y,Y,Y,1
3RD AVE N AND MERCER ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,1.0,CITY,N,N,6,12,N,N,N,Y,N,Y,1
ALASKAN WAY AND WALL ST                                                                                                                                                                                                                                        ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,36
20TH AVE AND E YESLER WAY                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
2ND AVE NE AND NE 103RD ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,6,8,N,Y,N,N,N,N,0
CALIFORNIA AVE SW AND SW FRONTENAC ST                                                                                                                                                                                                                          ,SEMI,74,FAIR,3.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
M L KING JR WAY S AND MOUNTAINS TO SOUND TRL                                                                                                                                                                                                                   ,SEMI,74,POOR,2.0,MIDXWALK,Y,Y,2,2,N,N,N,N,N,N,0
LAKE CITY WAY NE AND NE 95TH ST                                                                                                                                                                                                                                ,SEMI,74,FAIR,1.0,CITY,N,N,6,4,N,Y,N,Y,N,N,0
OLSON PL SW AND SW ROXBURY ST                                                                                                                                                                                                                                  ,FULL,74,FAIR,1.0,CITY,N,N,6,6,N,N,N,N,N,N,0
SAND POINT WAY NE AND NE WINDERMERE RD                                                                                                                                                                                                                         ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
DAYTON AVE N AND N 36TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,Y,8,6,N,N,N,N,N,N,2
8TH AVE AND PINE ST                                                                                                                                                                                                                                            ,PRE,74,GOOD,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
GREEN LAKE WAY N AND N 50TH ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,10,16,N,Y,Y,N,N,N,0
12TH AVE S AND S WELLER ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,N,12,8,N,N,N,N,N,N,0
ALASKAN WR WAY AND MADISON ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,CITY,N,N,2,6,N,Y,N,N,N,N,9
BOREN AVE AND PIKE ST                                                                                                                                                                                                                                          ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
9TH AVE N AND HARRISON ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,1.0,CITY,N,N,2,16,N,N,N,N,N,N,0
UNIVERSITY WAY NE AND NE PACIFIC ST                                                                                                                                                                                                                            ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
35TH AVE S AND S ALASKA ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
EAST MARGINAL WAY S AND S HUDSON ST                                                                                                                                                                                                                            ,SEMI,74,POOR,1.0,CITY,N,N,2,4,N,Y,N,N,Y,N,5
23RD AVE AND E UNION ST                                                                                                                                                                                                                                        ,SEMI,74,FAIR,1.0,CITY,N,Y,8,8,N,Y,N,N,N,Y,0
DELRIDGE WAY SW AND SW TRENTON ST                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
ALASKAN WAY AND CLAY ST                                                                                                                                                                                                                                        ,SEMI,74,POOR,1.0,CITY,N,N,10,12,N,N,N,N,N,N,25
DAYTON AVE N AND N 85TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,3
8TH AVE AND PIKE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
2ND AV ET S AND S MAIN ST                                                                                                                                                                                                                                      ,PRE,74,POOR,1.0,CITY,N,N,0,20,Y,N,N,N,N,N,0
BELLEVUE AVE AND E PINE ST                                                                                                                                                                                                                                     ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,6
24TH AVE NW AND NW 77TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
DELRIDGE WAY SW AND SW ROXBURY ST                                                                                                                                                                                                                              ,SEMI,74,GOOD,1.0,CITY,N,N,0,16,N,Y,N,N,N,N,0
1ST AVE NE AND NE 103RD ST                                                                                                                                                                                                                                     ,SEMI,74, ,1.0,STATE,N,N,5,0,N,N,N,N,N,N,0
6TH AVE AND SPRING ST                                                                                                                                                                                                                                          ,PRE,74, ,1.0,STATE,N,N,0,8,N,N,N,N,N,N,0
15TH AVE NE AND XW NE130 PL                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,MIDXWALK,Y,N,2,2,N,N,N,N,N,N,0
MONTLAKE BLVD NE AND NE 44TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
M L KING JR WAY S AND S BAYVIEW S ST                                                                                                                                                                                                                           ,SEMI,74,POOR,2.0,CITY,N,N,4,6,N,Y,N,N,N,N,0
REPUBLICAN ST AND WESTLAKE AVE N                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,0,12,N,N,N,N,N,Y,0
PHINNEY AVE N AND N 60TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
DEXTER AVE N AND HARRISON ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,2.0,CITY,N,N,8,8,Y,N,N,N,N,N,0
RAINIER AVE S AND S HOLDEN ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,CITY,Y,N,2,2,N,N,N,N,N,N,0
8TH AVE NW AND NW 80TH ST                                                                                                                                                                                                                                      ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
UNIVERSITY WAY NE AND NE 40TH ST                                                                                                                                                                                                                               ,PRE,74,POOR,3.0,CITY,N,N,0,0,N,N,N,N,N,N,0
AURORA AVE N AND N 125TH ST                                                                                                                                                                                                                                    ,FULL,74,FAIR,1.0,CITY,N,N,8,8,N,Y,N,Y,N,N,32
3RD AVE AND BATTERY ST                                                                                                                                                                                                                                         ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
25TH AVE NE AND NE 80TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,HALFPED,N,N,4,16,N,N,N,N,N,N,0
5TH AVE S AND S LANDER ST                                                                                                                                                                                                                                      ,FULL,74,GOOD,2.0,CITY,N,N,11,16,N,N,N,N,N,N,0
5TH AVE AND JAMES ST                                                                                                                                                                                                                                           ,SEMI,74,FAIR,1.0,CITY,N,N,0,16,N,Y,N,N,N,N,0
3RD AVE AND COLUMBIA ST                                                                                                                                                                                                                                        ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
BOREN AVE AND FAIRVIEW AVE                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,12,N,Y,Y,N,N,N,1
24TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,Y,N,0
5TH AVE S AND S ROYAL BROUGHAM WAY                                                                                                                                                                                                                             ,FULL,74,GOOD,1.0,CITY,N,N,8,8,N,N,N,N,N,N,0
4TH AVE S AND S ROYAL BROUGHAM WAY                                                                                                                                                                                                                             ,FULL,74,POOR,1.0,CITY,N,Y,7,8,N,Y,Y,Y,N,N,0
CEDAR ST AND WESTERN AVE                                                                                                                                                                                                                                       ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
GREENWOOD AVE N BETWEEN N 85TH ST AND N 87TH ST                                                                                                                                                                                                                ,SEMI,74,POOR,0.0, ,Y,Y,2,2,N,N,N,N,N,N,0
CALIFORNIA AVE SW AND SW STEVENS ST                                                                                                                                                                                                                            ,SEMI,74,POOR,2.0,CITY,N,N,4,6,N,N,N,N,N,N,0
AIRPORT WAY S AND S SPOKANE ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,Y,N,N,Y,Y,44
WALLINGFORD AVE N AND N 50TH ST                                                                                                                                                                                                                                ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
2ND AVE AND UNIVERSITY ST                                                                                                                                                                                                                                      ,PRE,74,FAIR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
DELRIDGE WAY SW AND SW KENYON ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,4,12,N,N,N,N,N,N,0
LINDEN AVE N AND N 80TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
1ST AVE N AND MERCER ST                                                                                                                                                                                                                                        ,PRE,74,POOR,1.0,CITY,N,N,8,8,Y,N,N,Y,N,Y,1
1ST AVE AND UNIVERSITY ST                                                                                                                                                                                                                                      ,PRE,74,FAIR,2.0,CITY,N,N,0,12,N,N,N,N,N,N,0
WALLINGFORD AVE N AND N 85TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,Y,N,N,N,N,0
6TH AVE AND MADISON ST                                                                                                                                                                                                                                         ,PRE,74,GOOD,1.0,CITY,N,N,0,6,N,N,N,N,N,N,0
14TH AVE AND E YESLER WAY                                                                                                                                                                                                                                      ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,1
10TH AVE E AND E ALOHA ST                                                                                                                                                                                                                                      ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,Y,N,N,N,N,0
LENORA ST AND WESTLAKE AVE                                                                                                                                                                                                                                     ,PRE,74,FAIR,1.0,CITY,N,N,0,24,N,N,N,N,N,N,0
14TH AVE AND E CHERRY ST                                                                                                                                                                                                                                       ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
4TH AVE AND LENORA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,1.0,CITY,N,N,0,16,Y,N,N,N,N,N,0
27TH AVE SW AND SW ROXBURY ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
14TH AVE S AND S HENDERSON ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
4TH AVE N AND ROY ST                                                                                                                                                                                                                                           ,PRE,74,POOR,1.0,CITY,N,N,4,16,N,Y,N,Y,N,Y,1
11TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
50TH AVE NE AND SAND POINT WAY NE                                                                                                                                                                                                                              ,SEMI,74,FAIR,1.0,CITY,N,N,2,8,N,N,N,N,N,N,0
UNIVERSITY WAY NE AND NE 45TH ST                                                                                                                                                                                                                               ,SEMI,74,GOOD,1.0,CITY,N,N,8,24,N,N,N,N,N,N,0
CALIFORNIA AVE SW AND SW ADMIRAL WAY                                                                                                                                                                                                                           ,FULL,74,FAIR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
FREMONT AVE N AND N 50TH ST                                                                                                                                                                                                                                    ,FULL,74,POOR,2.0,CITY,N,N,8,8,N,N,N,N,N,N,1
5TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
15TH AVE S AND S SPOKANE ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,2.0,CITY,N,N,8,8,N,N,N,Y,N,N,1
8TH AVE S AND S CLOVERDALE ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,CITY,N,N,8,5,N,N,N,N,N,N,0
M L KING JR WAY AND E YESLER WAY                                                                                                                                                                                                                               ,SEMI,74,GOOD,2.0,CITY,N,N,0,8,N,Y,N,N,N,N,0
MADISON ST AND SUMMIT AVE                                                                                                                                                                                                                                      ,PRE,74,GOOD,1.0,CITY,N,Y,15,8,N,N,N,N,N,N,0
25TH AVE NE AND NE 55TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
42ND AVE SW AND SW ADMIRAL WAY                                                                                                                                                                                                                                 ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
15TH AVE NE AND NE 145TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,13,8,N,Y,N,N,N,N,0
M L KING JR WR WAY S AND S ORCAS ST                                                                                                                                                                                                                            ,FULL,74,GOOD,1.0,CITY,N,N,10,16,N,Y,N,N,N,N,0
NE PACIFIC PL AND NE PACIFIC ST                                                                                                                                                                                                                                ,SEMI,74,GOOD,1.0,CITY,N,N,5,4,N,Y,Y,N,N,N,0
23RD AVE S AND S KING ST                                                                                                                                                                                                                                       ,SEMI,74,FAIR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
EASTLAKE AVE E AND STEWART ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,STATE,N,N,6,6,N,N,N,N,N,N,2
5TH AVE S AND S WELLER ST                                                                                                                                                                                                                                      ,PRE,74,FAIR,2.0,CITY,N,N,6,6,N,N,N,N,N,N,0
5TH AVE S AND S WASHINGTON ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
CALIFORNIA AVE SW AND SW GENESEE ST                                                                                                                                                                                                                            ,SEMI,74,GOOD,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
U VILLAGE DR AND NE 45TH ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,1.0,CITY,N,N,4,6,N,N,N,N,N,N,0
CROCKETT ST AND WESTLAKE AVE N                                                                                                                                                                                                                                 ,SEMI,74,GOOD,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
RAINIER AVE S AND S FOREST ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,CITY,N,N,6,12,N,Y,N,N,N,N,0
7TH AVE AND CHERRY ST                                                                                                                                                                                                                                          ,FULL,74,FAIR,1.0,STATE,N,N,8,16,N,N,N,N,N,N,1
4TH AVE S AND S WASHINGTON ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,1.0,CITY,N,N,0,10,N,N,N,N,N,N,0
4TH AVE AND JAMES ST                                                                                                                                                                                                                                           ,PRE,74,FAIR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
HARVARD AVE AND E PIKE ST                                                                                                                                                                                                                                      ,PRE,74,GOOD,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FREMONT AVE N AND N 36TH ST                                                                                                                                                                                                                                    ,PRE,74,GOOD,2.0,CITY,N,N,8,16,N,N,N,N,N,N,1
FREMONT WAY N AND N 38TH ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,2.0,CITY,N,N,6,12,N,N,N,N,N,N,0
BRIDGE WAY N AND N 38TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,STATE,N,N,6,12,N,N,N,N,N,N,3
FREMONT WAY N AND N 38TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,2.0,CITY,N,N,0,0,N,N,N,N,N,N,1
28TH AVE NW AND NW MARKET ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,2.0,CITY,N,N,9,8,N,N,N,Y,Y,N,0
GREENWOOD AVE N AND N 90TH ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
35TH AVE NE AND NE 94TH ST                                                                                                                                                                                                                                     ,SEMI,74,GOOD,2.0,FS,N,N,0,0,N,N,N,N,N,N,0
15TH AVE NE AND NE 120TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
5TH AVE AND JEFFERSON ST                                                                                                                                                                                                                                       ,PRE,74,GOOD,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FAUNTLEROY WAY SW AND SW KENYON PL                                                                                                                                                                                                                             ,PRE,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
TERRY AVE N AND VALLEY ST                                                                                                                                                                                                                                      ,SEMI,74,FAIR,1.0,CITY,N,N,8,6,N,Y,N,N,N,Y,0
I90 EB OFF RP AND RAINIER AVE S                                                                                                                                                                                                                                ,SEMI,74, ,1.0,STATE,N,N,4,0,N,N,N,N,N,N,0
1ST AVE NE AND NE NORTHGATE WAY                                                                                                                                                                                                                                ,SEMI,74, ,1.0,STATE,N,N,6,0,N,N,N,N,N,N,0
BARNES AVE NW AND NW MARKET ST                                                                                                                                                                                                                                 ,SEMI,74,GOOD,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,5
SW ADMIRAL WAY AND SW OLGA ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,1.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,12
E JAMES WAY AND XW 10TH AVE                                                                                                                                                                                                                                    ,SEMI,74,GOOD,0.0,MIDXWALK,Y,N,2,4,N,N,N,N,N,N,0
MERCER SR ST AND TERRY AVE N                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,CITY,N,N,10,16,N,N,N,N,N,Y,0
FAIRVIEW AVE N AND WARD ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,Y,2,8,N,N,N,N,N,N,0
M L KING JR ER WAY S AND MERTON WAY S                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,CITY,N,N,3,8,N,Y,N,N,N,N,0
M L KING JR ER WAY S AND S TRENTON ST                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,HALFPED,Y,N,4,8,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S THISTLE ST                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,HALFPED,N,N,3,4,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S ELMGROVE ST                                                                                                                                                                                                                         ,SEMI,74,GOOD,1.0,HALFPED,Y,N,3,4,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S HOLDEN ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,HALFPED,Y,N,3,2,N,N,N,N,N,N,0
M L KING JR ER WAY S AND RENTON N AVE S                                                                                                                                                                                                                        ,SEMI,74,GOOD,1.0,NONE,N,N,8,12,N,Y,N,N,N,N,0
M L KING JR ER WAY S AND S WILLOW ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,HALFPED,Y,N,3,4,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S BRANDON ST                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,CITY,N,N,10,16,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S DAWSON ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,CITY,N,N,10,16,N,Y,N,N,N,N,0
M L KING JR ER WAY S AND S HUDSON ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,HALFPED,Y,N,3,4,N,N,N,N,N,N,0
M L KING JR WR WAY S AND S EDMUNDS ST                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,CITY,N,N,10,8,N,Y,N,Y,Y,N,0
M L KING JR WR WAY S AND S GENESEE ST                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,HALFPED,Y,N,3,4,N,N,N,N,Y,N,0
M L KING JR WR WAY S AND S DAKOTA ST                                                                                                                                                                                                                           ,FULL,74,GOOD,1.0,CITY,N,N,10,16,N,Y,N,N,N,N,0
M L KING JR WR WAY S AND S ANDOVER ST                                                                                                                                                                                                                          ,FULL,74,GOOD,1.0,HALFPED,Y,N,3,4,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S HANFORD S ST                                                                                                                                                                                                                        ,SEMI,74,GOOD,1.0,CITY,Y,N,4,12,N,N,N,N,N,N,0
M L KING JR ER WAY S AND S MORGAN ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,NONE,Y,N,2,2,N,N,N,N,N,N,0
13TH AVE S AND AIRPORT WAY S                                                                                                                                                                                                                                   ,SEMI,74,GOOD,1.0,CITY,N,N,4,12,N,N,N,N,Y,N,5
STEWART ST AND WESTLAKE AVE                                                                                                                                                                                                                                    ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
6TH AVE AND WESTLAKE AVE                                                                                                                                                                                                                                       ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FREMONT AVE N AND N 80TH ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,2.0,CITY,N,N,4,16,N,N,N,N,N,N,3
M L KING JR ER WAY S AND S OREGON ST                                                                                                                                                                                                                           ,SEMI,74, ,1.0,CITY,N,N,10,16,N,Y,N,Y,Y,N,0
38TH AVE NW AND SEAVIEW AVE NW                                                                                                                                                                                                                                 ,SEMI,74, ,2.0,CITY,N,N,2,0,N,N,N,N,N,N,0
FAUNTLEROY WAY SW AND SW DAWSON ST                                                                                                                                                                                                                             ,SEMI,74, ,1.0,HALFPED,Y,N,2,0,N,N,N,N,N,N,1
EAST GREEN LAKE WAY N AND N 64TH ST                                                                                                                                                                                                                            ,FULL,74, ,2.0,CITY,N,N,8,0,Y,N,N,N,N,N,0
ALASKAN WAY AND VINE ST                                                                                                                                                                                                                                        ,SEMI,74, ,1.0,HALFPED,Y,N,2,0,N,N,N,N,N,N,11
BOREN AVE AND SPRING ST                                                                                                                                                                                                                                        ,SEMI,74,GOOD,1.0,HALFPED,Y,N,4,2,N,N,N,N,N,N,5
SYLVAN WAY SW AND SW MORGAN W ST                                                                                                                                                                                                                               ,FULL,74, ,1.0,CITY,N,N,8,0,N,N,N,N,N,N,0
HOLLY PARK DR S AND S MYRTLE PL                                                                                                                                                                                                                                ,SEMI,74, ,1.0,CITY,N,N,4,0,N,N,N,N,N,N,0
ALASKAN WAY AND BLANCHARD ST                                                                                                                                                                                                                                   ,SEMI,74, ,1.0,HALFPED,Y,N,2,0,N,N,N,N,N,N,2
ALASKAN WAY AND LENORA ST                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,HALFPED,Y,N,2,0,N,N,N,N,N,N,0
ALASKAN WAY AND UNION ST                                                                                                                                                                                                                                       ,PRE,74, ,1.0,HALFPED,N,N,6,6,N,N,N,N,N,N,0
ALASKAN WAY AND SENECA ST                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,HALFPED,N,N,6,6,N,N,N,N,N,N,5
ALASKAN WAY AND SPRING ST                                                                                                                                                                                                                                      ,PRE,74, ,1.0,HALFPED,N,N,6,6,N,N,N,N,N,N,5
DUWAMISH RIVER TRL AND WEST MARGINAL WAY SW                                                                                                                                                                                                                    ,SEMI,74,GOOD,0.0,MIDXWALK,Y,N,2,0,N,N,N,N,N,N,1
