,UNITDESC,STNAME_ORD,XSTRLO,XSTRHI,ARTCLASS,SPEEDLIMIT,SURFACETYPE_1,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,SLOPE_PCT,SHAPE_Length
8134,SW ORLEANS ST BETWEEN 56TH AVE SW AND 57TH PL SW,SW ORLEANS ST,56TH AVE SW,57TH PL SW,3.0,25.0,PCC,74.0,0.0,0,11.0,440.420541985508
8135,SW ORLEANS ST BETWEEN 60TH AVE SW AND 61ST AVE SW,SW ORLEANS ST,60TH AVE SW,61ST AVE SW,0.0,20.0,PCC,81.0,0.0,0,2.0,321.644477119504
8136,SW OTHELLO ST BETWEEN 30TH AVE SW AND 31ST AVE SW,SW OTHELLO ST,30TH AVE SW,31ST AVE SW,0.0,20.0,PCC,98.0,0.0,0,2.0,336.992746055947
8137,SW OTHELLO ST BETWEEN 36TH S AVE SW AND 39TH S AVE SW,SW OTHELLO ST,36TH S AVE SW,39TH S AVE SW,0.0,20.0,PCC,78.0,0.0,0,8.0,883.853211381389
8138,SW OTHELLO ST BETWEEN 44TH E AVE SW AND 44TH W AVE SW,SW OTHELLO ST,44TH E AVE SW,44TH W AVE SW,0.0,20.0,PCC,58.0,0.0,0,9.0,131.746696792402
8139,SW PORTLAND ST BETWEEN 10TH AVE SW AND 11TH AVE SW,SW PORTLAND ST,10TH AVE SW,11TH AVE SW,0.0,20.0,PCC,0.0,0.0,0,0.0,314.990743884862
8140,SW PORTLAND ST BETWEEN CALIFORNIA AVE SW AND 44TH AVE SW,SW PORTLAND ST,CALIFORNIA AVE SW,44TH AVE SW,0.0,20.0,PCC,88.0,0.0,0,9.0,353.530417551005
8141,SW PRINCE ST BETWEEN DEAD END 3 AND WALNUT AVE SW,SW PRINCE ST,DEAD END 3,WALNUT AVE SW,0.0,20.0,GRAVEL,0.0,0.0,0,7.0,64.9623383906102
8142,SW RAYMOND ST BETWEEN 36TH AVE SW AND 37TH AVE SW,SW RAYMOND ST,36TH AVE SW,37TH AVE SW,0.0,20.0,PCC,85.0,0.0,0,16.0,332.652708438713
8143,SW RAYMOND ST BETWEEN CALIFORNIA AVE SW AND 44TH AVE SW,SW RAYMOND ST,CALIFORNIA AVE SW,44TH AVE SW,0.0,20.0,PCC,75.0,0.0,0,7.0,365.773139216898
8144,SW ROXBURY PL BETWEEN 44TH AVE SW AND 45TH AVE SW,SW ROXBURY PL,44TH AVE SW,45TH AVE SW,0.0,20.0,ST,100.0,0.0,0,3.0,213.48557053707
8145,SW ROXBURY ST BETWEEN 7TH E AVE SW AND 7TH W AVE SW,SW ROXBURY ST,7TH E AVE SW,7TH W AVE SW,1.0,25.0,PCC,94.0,0.0,0,6.0,63.3487865216758
8146,SW ROXBURY ST BETWEEN 9TH AVE SW AND 10TH AVE SW,SW ROXBURY ST,9TH AVE SW,10TH AVE SW,1.0,25.0,PCC,83.0,0.0,2,5.0,314.44481133647
8147,SW ROXBURY ST BETWEEN 24TH AVE SW AND 25TH AVE SW,SW ROXBURY ST,24TH AVE SW,25TH AVE SW,1.0,25.0,AC/PCC,49.0,0.0,2,4.0,331.907246176484
8148,SW ROXBURY ST BETWEEN 26TH AVE SW AND 27TH AVE SW,SW ROXBURY ST,26TH AVE SW,27TH AVE SW,1.0,25.0,AC/PCC,49.0,0.0,2,8.0,338.900722170578
8149,SW ROXBURY ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,SW ROXBURY ST,42ND AVE SW,CALIFORNIA AVE SW,0.0,20.0,ST,96.0,0.0,0,7.0,329.222022684182
8150,SW ROXBURY ST BETWEEN 46TH E AVE SW AND 47TH AVE SW,SW ROXBURY ST,46TH E AVE SW,47TH AVE SW,0.0,20.0,ST,29.0,0.0,0,14.0,284.486833144225
8151,SW SNOQUALMIE ST BETWEEN 36TH AVE SW AND 37TH AVE SW,SW SNOQUALMIE ST,36TH AVE SW,37TH AVE SW,0.0,20.0,AC,69.0,0.0,0,1.0,326.054042288916
8152,SW SPOKANE BR BETWEEN SW SPOKANE E ST AND SW SPOKANE W ST,SW SPOKANE ST BR,SW SPOKANE E ST,SW SPOKANE W ST,3.0,25.0,PCC,94.0,0.0,2,0.0,825.47161753094
8153,SW SPOKANE ST BETWEEN TERMINAL 5 ACCESS RP AND WEST MARGINAL TURN RD,SW SPOKANE ST,TERMINAL 5 ACCESS RP,WEST MARGINAL TURN RD,3.0,25.0,AC,19.0,0.0,2,1.0,514.971240769893
8154,SW SPOKANE ST BETWEEN FRATER AVE SW AND 58TH E AVE SW,SW SPOKANE ST,FRATER AVE SW,58TH E AVE SW,0.0,20.0,PCC,53.0,0.0,0,12.0,550.699075997182
8155,SW SPOKANE SR ST BETWEEN SW KLICKITAT NR WAY AND SW KLICKITAT SR WAY,SW SPOKANE ST,SW KLICKITAT NR WAY,SW KLICKITAT SR WAY,0.0,20.0,PCC,87.0,0.0,3,0.0,51.1498876109629
